2025-09-19 16:48:48 | handlers | DEBUG | -1003065205593 | Функция start_command() выполнена
2025-09-19 17:41:12 | handlers | DEBUG | -1003065205593 | Функция me_command() выполнена
2025-09-19 19:44:02 | handlers | DEBUG | -1003065205593 | Функция start_command() выполнена
2025-09-19 19:44:05 | handlers | DEBUG | -1003065205593 | Функция me_command() выполнена
2025-09-19 22:05:44 | handlers | DEBUG | 5195134444 | Функция private_message() выполнена
2025-09-19 22:06:01 | handlers | DEBUG | -1003065205593 | Функция start_command() выполнена
2025-09-19 22:06:16 | handlers | DEBUG | -1003065205593 | Функция me_command() выполнена
2025-09-19 22:14:12 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-19 22:17:31 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-19 22:19:44 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-19 22:20:00 | handlers | DEBUG | -1003065205593 | Выбрана профессия: Землепашец
2025-09-19 22:20:00 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-19 22:21:24 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-19 22:21:59 | handlers | DEBUG | -1003065205593 | Выбрана профессия: Землепашец
2025-09-19 22:21:59 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-19 22:47:05 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-19 22:47:07 | handlers | DEBUG | -1003065205593 | 1 | Выбрана профессия: Землепашец
2025-09-19 22:47:07 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-19 22:47:44 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-19 22:47:44 | handlers | DEBUG | -1003065205593 | 1 | Выбрана профессия: Землепашец
2025-09-19 22:47:44 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-19 22:49:40 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-19 22:49:41 | handlers | DEBUG | -1003065205593 | 1 | Выбрана профессия: Землепашец
2025-09-19 22:49:41 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-19 22:49:43 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-19 22:49:48 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:49:48 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:49:49 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:49:50 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:49:50 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:49:53 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:49:56 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:49:56 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:49:56 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:49:56 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:50:03 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-19 22:50:05 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:50:06 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:50:07 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:50:08 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:50:09 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:50:11 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:51:34 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-19 22:51:39 | handlers | DEBUG | -1003065205593 | 1 | Выбрана профессия: Землепашец
2025-09-19 22:51:39 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-19 22:51:40 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-19 22:51:41 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:51:42 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:51:42 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:51:43 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:51:44 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:51:45 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:51:49 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:51:49 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:51:49 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:51:58 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-19 22:51:59 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:52:00 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:52:01 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:52:01 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:52:02 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:52:06 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:52:07 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:52:07 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:08 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-19 22:59:11 | handlers | DEBUG | -1003065205593 | 1 | Выбрана профессия: Землепашец
2025-09-19 22:59:11 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-19 22:59:13 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-19 22:59:15 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:15 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:16 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:16 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:17 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:18 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:22 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:23 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:23 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:24 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:24 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:28 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:29 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:29 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:30 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:31 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 22:59:41 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-19 22:59:42 | handlers | DEBUG | -1003065205593 | 2 | Выбрана профессия: Землепашец
2025-09-19 22:59:42 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-19 22:59:44 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-19 22:59:58 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 23:00:07 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-19 23:02:38 | handlers | DEBUG | -1003065205593 | Функция prof_command() выполнена
2025-09-19 23:02:39 | handlers | DEBUG | -1003065205593 | 1 | Выбрана профессия: Землепашец
2025-09-19 23:02:39 | handlers | DEBUG | -1003065205593 | Функция select_prof_callback() выполнена
2025-09-19 23:02:40 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-19 23:02:42 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 23:02:42 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 23:02:43 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 23:02:43 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 23:02:44 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 23:02:46 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 23:02:46 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 23:02:47 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-19 23:02:50 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:50:58 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 12:51:03 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:04 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:05 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:05 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:07 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:08 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:11 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:11 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:12 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:12 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:13 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:17 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:17 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:17 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:24 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:51:24 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 12:54:51 | handlers | DEBUG | -1003065205593 | Функция inventory_command() выполнена
2025-09-20 13:00:27 | handlers | DEBUG | -1003065205593 | Функция inventory_command() выполнена
2025-09-20 13:00:46 | handlers | DEBUG | -1003065205593 | Функция job_command() выполнена
2025-09-20 13:00:47 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:48 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:48 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
2025-09-20 13:00:48 | handlers | DEBUG | -1003065205593 | Функция clicker_callback() выполнена
